task,seed,contrast,contrast_num
conscious,426426_Left_10mm_pACC_Threat_n6_42_n4,Sad_vs_Neutral,10
conscious,707656_Left_10mm_antInsula_Threat_n36_20_n4,Sad_vs_Neutral,10
conscious,779062_Left_Amygdala_Threat,Sad_vs_Neutral,10
conscious,534482_Right_10mm_antInsula_Threat_38_22_n4,Sad_vs_Neutral,10
conscious,176064_Right_Amygdala_Threat,Sad_vs_Neutral,10
conscious,779062_Left_Amygdala_Threat,Threat_vs_Neutral,18
conscious,176064_Right_Amygdala_Threat,Threat_vs_Neutral,18
conscious,131520_Right_10mm_dACC_Threat_6_22_32,Threat_vs_Neutral,18
nonconscious,176064_Right_Amygdala_Threat,Threat_vs_Neutral,18
nonconscious,779062_Left_Amygdala_Threat,Threat_vs_Neutral,18
nonconscious,131520_Right_10mm_dACC_Threat_6_22_32,Threat_vs_Neutral,18
conscious,779062_Left_Amygdala_Threat,Fear_vs_Neutral,8
conscious,176064_Right_Amygdala_Threat,Fear_vs_Neutral,8
conscious,131520_Right_10mm_dACC_Threat_6_22_32,Fear_vs_Neutral,8
nonconscious,176064_Right_Amygdala_Threat,Fear_vs_Neutral,8
nonconscious,779062_Left_Amygdala_Threat,Fear_vs_Neutral,8
nonconscious,131520_Right_10mm_dACC_Threat_6_22_32,Fear_vs_Neutral,8
conscious,779062_Left_Amygdala_Threat,Fear_vs_Happy,14
conscious,176064_Right_Amygdala_Threat,Fear_vs_Happy,14
conscious,131520_Right_10mm_dACC_Threat_6_22_32,Fear_vs_Happy,14
nonconscious,176064_Right_Amygdala_Threat,Fear_vs_Happy,14
nonconscious,779062_Left_Amygdala_Threat,Fear_vs_Happy,14
nonconscious,131520_Right_10mm_dACC_Threat_6_22_32,Fear_vs_Happy,14
conscious,779062_Left_Amygdala_Threat,Threat_vs_Happy,21
conscious,176064_Right_Amygdala_Threat,Threat_vs_Happy,21
conscious,131520_Right_10mm_dACC_Threat_6_22_32,Threat_vs_Happy,21
nonconscious,176064_Right_Amygdala_Threat,Threat_vs_Happy,21
nonconscious,779062_Left_Amygdala_Threat,Threat_vs_Happy,21
nonconscious,131520_Right_10mm_dACC_Threat_6_22_32,Threat_vs_Happy,21
conscious,779062_Left_Amygdala_Threat,Negative_vs_Happy,19
conscious,176064_Right_Amygdala_Threat,Negative_vs_Happy,19
conscious,131520_Right_10mm_dACC_Threat_6_22_32,Negative_vs_Happy,19
nonconscious,176064_Right_Amygdala_Threat,Negative_vs_Happy,19
nonconscious,779062_Left_Amygdala_Threat,Negative_vs_Happy,19
nonconscious,131520_Right_10mm_dACC_Threat_6_22_32,Negative_vs_Happy,19
conscious,779062_Left_Amygdala_Threat,Negative_vs_Neutral,12
conscious,176064_Right_Amygdala_Threat,Negative_vs_Neutral,12
conscious,131520_Right_10mm_dACC_Threat_6_22_32,Negative_vs_Neutral,12
nonconscious,176064_Right_Amygdala_Threat,Negative_vs_Neutral,12
nonconscious,779062_Left_Amygdala_Threat,Negative_vs_Neutral,12
nonconscious,131520_Right_10mm_dACC_Threat_6_22_32,Negative_vs_Neutral,12
emoreg,779062_Left_Amygdala_Threat,NegLook_vs_NegDecrease,5
emoreg,176064_Right_Amygdala_Threat,NegLook_vs_NegDecrease,5
emoreg,450767_Right_Amygdala_Salience,NegLook_vs_NegDecrease,5
emoreg,447647_Left_Amygdala_Salience,NegLook_vs_NegDecrease,5
emoreg,430002_Left_10mm_mPFC_Salience_n2_58_18,NegLook_vs_NegDecrease,5
emoreg,713041_Right_10mm_dACC_Salience_6_26_28,NegLook_vs_NegDecrease,5
emoreg,082100_Right_10mm_dACC_Reward_6_34_18,NegLook_vs_NegDecrease,5
emoreg,322890_Left_10mm_vmPFC_Threat_n2_42_n18,NegLook_vs_NegDecrease,5
emoreg,281559_Left_10mm_vmPFC_Reward_n2_26_n16,NegLook_vs_NegDecrease,5
emoreg,299536_Right_10mm_dmPFC_Threat_2_2_56,NegLook_vs_NegDecrease,5
emoreg,586931_Right_10mm_dmPFC_Reward_4_22_44,NegLook_vs_NegDecrease,5
emoreg,779062_Left_Amygdala_Threat,Negative_vs_Neutral,4
emoreg,176064_Right_Amygdala_Threat,Negative_vs_Neutral,4
emoreg,450767_Right_Amygdala_Salience,Negative_vs_Neutral,4
emoreg,447647_Left_Amygdala_Salience,Negative_vs_Neutral,4
emoreg,430002_Left_10mm_mPFC_Salience_n2_58_18,Negative_vs_Neutral,4
emoreg,713041_Right_10mm_dACC_Salience_6_26_28,Negative_vs_Neutral,4
emoreg,082100_Right_10mm_dACC_Reward_6_34_18,Negative_vs_Neutral,4
emoreg,322890_Left_10mm_vmPFC_Threat_n2_42_n18,Negative_vs_Neutral,4
emoreg,281559_Left_10mm_vmPFC_Reward_n2_26_n16,Negative_vs_Neutral,4
emoreg,299536_Right_10mm_dmPFC_Threat_2_2_56,Negative_vs_Neutral,4
emoreg,586931_Right_10mm_dmPFC_Reward_4_22_44,Negative_vs_Neutral,4
emocon,779062_Left_Amygdala_Threat,II_vs_CI,8
emocon,176064_Right_Amygdala_Threat,II_vs_CI,8
emocon,450767_Right_Amygdala_Salience,II_vs_CI,8
emocon,447647_Left_Amygdala_Salience,II_vs_CI,8
emocon,430002_Left_10mm_mPFC_Salience_n2_58_18,II_vs_CI,8
emocon,713041_Right_10mm_dACC_Salience_6_26_28,II_vs_CI,8
emocon,082100_Right_10mm_dACC_Reward_6_34_18,II_vs_CI,8
emocon,322890_Left_10mm_vmPFC_Threat_n2_42_n18,II_vs_CI,8
emocon,281559_Left_10mm_vmPFC_Reward_n2_26_n16,II_vs_CI,8
emocon,299536_Right_10mm_dmPFC_Threat_2_2_56,II_vs_CI,8
emocon,586931_Right_10mm_dmPFC_Reward_4_22_44,II_vs_CI,8
emocon,779062_Left_Amygdala_Threat,II,4
emocon,779062_Left_Amygdala_Threat,CI,2
emocon,176064_Right_Amygdala_Threat,II,4
emocon,176064_Right_Amygdala_Threat,CI,2
emocon,779062_Left_Amygdala_Threat,CI_vs_II,7
emocon,176064_Right_Amygdala_Threat,CI_vs_II,7
emocon,426426_Left_10mm_pACC_Threat_n6_42_n4,CI_vs_II,7